selected project;rowId;projectId;ownerLogin;name;language;totalCommitters;totalcommits;projectAge;windowIdx;blauGender;turnover;female;lone;tenureMedian;tenureDiversity;expertise;teamSize;stCongruence;truckFactor;centrality
https://github.com/robbyrussell/oh-my-zsh;839943;3231;robbyrussell;zsh-config;Python;3384;25212;6;13;0.067;0.525;3;7;5;1;0;38;0.57;5;0.1
https://github.com/robbyrussell/oh-my-zsh;839937;3231;robbyrussell;zsh-config;Python;3384;25212;6;7;0.062;0.61;7;7;0;3;0.9;23;0.78;4;1.1
https://github.com/puppetlabs/puppet;211230;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;14;0.061;0.606;11;7;5;0;0;28;0.52;4;0.3
https://github.com/robbyrussell/oh-my-zsh;839936;3231;robbyrussell;zsh-config;Python;3384;25212;6;6;0.049;0.59;3;7;1;1;0.5;29;0.48;5;0
https://github.com/symfony/symfony-docs;531311;10070;symfony;symfony-docs-id;Python;772;9969;8;9;0.047;0.514;1;7;4;1;0.8;25;0.6;2;0
https://github.com/torvalds/linux;806628;1088;torvalds;linux-imx6-1;C;1053;104219;14;16;0.025;0.303;9;7;1;4;0.6;26;0.64;3;0
https://github.com/genome/gms;690534;804746;genome;gms-core;Perl;52;4905;18;3;0.365;0.214;5;8;4;4;0.1;42;0.55;5;0.6
https://github.com/akretion/openerp-addons;15064;3085817;Akretion;openerp-addons;Python;113;2363;19;4;0.327;0.932;6;8;1;4;0.1;36;0.48;3;0.8
https://github.com/genome/gms;690535;804746;genome;gms-core;Perl;52;4905;18;4;0.302;0.219;4;8;1;2;0.4;37;0.64;5;0.8
https://github.com/cloudfoundry-attic/cf-docs;850717;143060;cloudfoundry;cf-docs;Shell;133;1136;17;4;0.18;0.583;4;8;0;2;0.5;27;0.64;5;0.7
https://github.com/moodle/moodle;559545;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;22;0.169;0.366;10;8;3;8;0;38;0.56;3;0.6
https://github.com/liferay/liferay-portal;148781;3981;liferay;liferay-portal;Java;341;118673;7;16;0.166;0.193;2;8;4;5;0.8;30;0.7;1;1.4
https://github.com/chapuni/llvm-project;739694;10;chapuni;llvm;C++;269;11874;12;5;0.133;0.295;12;8;1;5;1;21;0.8;3;0.6
https://github.com/liferay/liferay-portal;148772;3981;liferay;liferay-portal;Java;341;118673;7;7;0.126;0.431;1;8;1;7;0.6;39;0.78;5;0
https://github.com/symfony/symfony-docs;531309;10070;symfony;symfony-docs-id;Python;772;9969;8;7;0.098;0.523;13;8;0;6;0.4;39;0.7;3;0.6
https://github.com/emberjs/ember.js;778484;540;emberjs;amber.js;JavaScript;480;9756;13;8;0.074;0.234;6;8;2;6;0.6;24;0.48;1;0.6
https://github.com/symfony/symfony-docs;531314;10070;symfony;symfony-docs-id;Python;772;9969;8;12;0.058;0.467;5;8;5;5;0.5;22;0.5;1;0.9
https://github.com/symfony/symfony-docs;531312;10070;symfony;symfony-docs-id;Python;772;9969;8;10;0.033;0.503;7;8;1;7;0.9;34;0.59;5;0.6
https://github.com/chapuni/llvm-project;883893;1847533;loganchien;llvm;C++;26;508;18;5;0.245;0.857;1;9;1;5;0.9;74;0.05;4;1.4
https://github.com/chapuni/llvm-project;739692;10;chapuni;llvm;C++;269;11874;12;3;0.155;0.855;3;9;2;2;0.8;60;0.24;2;0.1
https://github.com/symfony/symfony-docs;531306;10070;symfony;symfony-docs-id;Python;772;9969;8;4;0.142;0.61;1;9;0;1;0.1;54;0.13;4;1.3
https://github.com/chapuni/llvm-project;739699;10;chapuni;llvm;C++;269;11874;12;10;0.118;0.374;3;9;4;3;0.1;53;0.18;2;1.4
